id,transliteration,translation
31242,a-na a-na—<<gap> > tâk-la-ku nimgir,Ana--taklâ.ku the herald
31243,sû-ha-ri-ka aq-bi,I told your servant
31244,a-di nu4-urn u4.20.kam,until the twentieth day
31245,sa a-la-kam bi-tam,when I will arrive
31246,la tu-da-ba-ab,Do not put pressure on the house
31247,"as-sum 40,3 s"" e . du ru 5 sa mi-im",About buying forty kor (and) three PI of moist barley
31248,ci-ti e-ri-is kù. dim,in the hand of -eres the goldsmith
31249,l û û -ul i-di-nam,He did not give me the coriander
31250,s e . l û e-li-ka,I have a claim of coriander on you
31251,"i-su-til-ma tu-us""-ta-ta-ah-ri- I is-sù",you have made the calculations with him
31252,a-na ma-ri si-ip-ri-im,Give to the messenger
31253,sa. i-il-la-ka-ku,who will come to you
31254,"di-in re-qû-sû la ta-ta-1 ra-da-a""s-""su",do not despatch him empty-handed
31255,sum-ma se sum-ma k[ù.babbar],either barley or silver
31256,i-di-in-m[a <gap>],Give and <gap>
31258,e-si-ha-kum X_0 bi-ti-su,I Y_0 to you by error
31259,ù 0-ha-ar-su pa a)-si-ir,"Also, release his servant"
31260,dumu an-na-AN,son of Anna-dim
31261,ni-pu-tam sa dumu .SAL ja-si-li,the distrainee of the daughter of Jassi-el(i)
31262,se-am sa gi.û/PA.kin sahar.hi. a,the barley of the <gap>-baskets of rubble
31264,um-ma dA.LÂL.SAR—a-su-ma,Thus says Assur-asu
31266,d utu ù dmarduk as-su-mi-ja a-ri-is u4-mi a-di-AN li-ba-al-li-tû,May Samas and Marduk keep Adian in good health forever for my sake
31268,um-ma dEN.zu-a-sa-re-ed-ma,Thus says Sin-asared
31269,d utu X_0 dEN.zu li ba al li tû,May Samas Y_0 Sin keep you in good health
31270,a-we-lum sa at-ru-da-kum,The man whom I despatched to you
31272,dutu ù dmarduk as-su-mi-ja li-ba-al-li-tû,May Samas and Marduk keep you in good health for my sake
31273,dumu.sAL ip-qâ-tum-ma,I have taken the princess
31274,be-li ù be-el-ti as-su-mi-ja li-ba-al-li-tû-ka,my Lord and my Mistress keep you in good health for my sake
31275,a-na a-pil—iita[r] qi-bi-ma,Speak to Apil-IStar
31278,a.sà-ka sa hi-ri-tu-um,your field of Ijiritum
31279,um-ma be-le-al-nu ma-ra-at-ka-ma,"Thus says Bélessunu, your daughter"
31280,te4-em sag.ir,report on the one slave
31283,um-ma ap-la-tum-ma,Thus says Aplâtum
31284,Pi-din-dMAR.TU dumu-ka,"Iddin-Amurrum, your son"
31289,a-na be-el-ti-ja,for my mistress
31291,ka-ni-ik gar-ri-im,tablet of the king
31293,X_0 sa.m,Y_0 the value of
31295,X_0 u4-mi,Y_0 five days
31296,is-tu u4-um,from month
31297,X_0 a-we-lim sa dmarduk û-ba-la-tû-gu,Y_0 the man whom Marduk keeps in good health
31298,a-na a-hi-ja X_0 an-nu-ni-tum û-ba-al-la-tû,to my Y_0 whom Annunitum keeps in good health
31299,ma-ar-gi-it dumu.sAL be-ta-ti-ja,property of the daughter of Béttatija
31303,su-nu i-le-eq-qû-û,take (it) for themselves
31305,i-nu-ma i-n[a] ezen dutu,When I was staying at Sippar during the festival of Samas
31307,é X_0 ga-gi-i[m],a Y_0 in the cloister
31308,é i-na as-1j-[i]rII,the house
31310,X_0 su-ma,Y_0 he said
31311,a-an-na a-p[u]-nu[l]-su,I myself gave him (my) consent
31312,su-lum-ka ma-har dutu,your well-being last before
31313,X_0 a-we-lum,Y_0 the gentleman
31315,be-el a-wa-ti-su li-se-zi-bu,Let them have his adversary (in court) make out
31316,a-me-ru-flu ma-har dutu ù dmarduk X_0 be-li-ja li-ik-ru-bu,those who see this may Y_0 for my lord before Samas and Marduk
31317,a-na u4.4. kam a-na u4.KIB.NUN.ki X_0 ma-bar a-bi-ja a-al-la-ak,Four days after this tablet Y_0 mine I will go to Sippar to my father's
31319,a-na ma-HI b)-ri-ka at-tar-dam,I have despatched to you
31320,X_0 lû i-di-in-sum,Y_0 him two men
31321,tap-pu-su-tu li-il-li-ku,let them assist him
31322,mi-im-ma zi-kir su-mi-(ja) su-bi-lam,anything you have in mind (for me) send me
31323,as-sum ku-ub-bu-rum i-DA-,concerning Kubburum will file a complaint
31324,X_0 kâ.dingir.rak ku-ub-bu-rum it-ti na- a-na-,Y_0 that Kubburum come to Babylon to me together with Nakkdrum
31326,sa be-li at-ta,my lord
31327,ag-gum IA pi-1-i-gu GAL.UKKEN.NA,"Apil-iligu, the Head of the Assembly"
31328,3 ka-ta-an-ga-ra-tum ù X_0 li-ga-nu apin,three <gap>s and Y_0 plowshares
31329,X_0 be-lf-ja ki.1,Y_0 my lord — first item
31331,a-na ma-ah-ri-ka,at your disposal
31332,ki-ma ki-it-tim,According to the truth
31335,i-na mu-ûh-hi-ja,against me
31336,X_0 i-ha-ab-ba-lu,Y_0 not wrong
31337,du-nim-ma ni-pu-tam ip-pu-ü,they distrained on a distrainee
31338,ri im-ta-al-li-ku-ma,they took counsel with each other
31339,um-ma a-na-ku,thus I said
31340,X_0 bi-ti-ka i-ba-ag-gi,Y_0 in your house
31342,ka-ni-ik-gu-nu X_0,they Y_0 me their sealed documents
31343,a-pa e-lam i-la-kam,the gentleman will arrive
31345,ku-nu-uk be-lf-ja,the sealings of my lord
31346,X_0 X_0,Y_0 Y_0 lord
31348,ZAG.HA kâ. dingir. rak,The tax collector of Babylon
31350,dEN.zu—re-me-ni su-ü na-si,Sin-réméni himself was carrying
31351,ki-ma dEN.zu—re-me-ni su-ü X_0 si im ti su il-li-ku,As soon as Y_0 Sin-réméni went to his fate
31352,"Pib-ni—dis""kur a-bu-su","Ibni-Adad, his brother"
31353,a-na é dEN.zu—re-me-ni ur-ta-ag-gi,wronged the house of Sin-réméni
31354,X_0 a-we-lim sa dmarduk û ba al la tû su qi-bi-ma,Y_0 to the gentleman whom Marduk keeps in good health
31355,umma dEN.zu—na-di-in—su-mi-ma,Thus says Sin-nadin-sumi
31356,a-na ma-ah-ri-ja li-ib-lam,he may bring (them) to me
31357,da-ri-is u4-mi li-ba-al-li-tu-ka,keep you in good health forever
31359,ka-ni-ku lu-u qû-ur-ru-um-ma,"a sealed document is available, let an oral statement be made"
31360,X_0 é hi a ere n ka-as-si-i i-te-eb-ru,Y_0 had moved over to the camps of the Kassite troops
31361,ip-pu-û u it-tu-ru-ni,they had distrained and came back
31362,ta-az-za-az a-na mi-im-mu-ja su-ta-ah-lu-DI,standing ready to cause my property to be lost
31363,ni-di a-hi a-ra-as-si,neglect my property
31364,ne-me-el-ka i1-ul a-mu-u[r],I have not noticed you (making any) profit
31365,al-qf-a-am-ma X_0 kù.babbar,I Y_0 the sale price of the wool combs and of that silver
31366,gu-ul-lu-la-ti-ka X_0 ti-de,Be Y_0 of these your wrongdoings
31367,X_0 ka-ap-ri-ja al-li-kam,Y_0 my village
31368,a-na u4.5. kam a-sa-mid-ma û-sa-ba-la-kum,I will make ready within five days and I will send (this) to you
31369,d utu ù dmarduk da-ri-is u4-mi li ba al X_0 tû ka,May Samas and Marduk keep you in good health Y_0
31370,sa-at-tam û.din.tir SAR,the cumin
31371,sa i-na sa dnin.kar.ra.ak in-ne-ep-su,that has been planted at Ninkarrak's Place
31372,û-ul i-se-er-ma,did not do well
31373,X_0 a-we-lim qI-bl-ma,Y_0 the gentleman: Speak
31374,as-sum se.gis.1 na-sa-bi-im,in order to harvest the sesame
31375,psALbi-it-te-tum a-ha-ti,"Béttetum, my sister"
31376,kù.babbar sam X_0 sag.geme.mes,silver (equal Y_0 the price of three slave-girls
31381,se gû.u n a.sà a-na-ad-di-in,I deliver barley as rent for the field
31382,si-ip-ra-am e-pu-us-ma e-ri-is,"I prepared that field for cultivation, and I sowed"
31384,si-ip-ra-am X_0 e-pu-us,I Y_0 prepared those two acres of field (for cultivation)
31386,"""s]u-lum-[k]a ma-h[a]r be-lf-ja",your well-being before my Lord
31387,ma-as-sa-ar gu-u1-mi-im ù ba-la-ti-[im],the guardian of well-being and health
31388,suku ka-sa-tim ù li-li-a-tim,At the morning and evening offering
31389,u ru . ki wa-as-ba-a-ta,the city you are living in
31391,suku k[a-s]a-tim ù 1N-li-a-tim,At the morning and evening offering
31392,ma-har be-lf-ja ù be-el-ti-ja,before my Lord and my Mistress
31393,na-j2-qâ-a-ku i-mi-it-tam,I am worried
31394,X_0 na-sa-ri-ka a ja i-gu-ü,Y_0 fail to protect you
31395,ma-bar sar-ra-at UD. KIB .NUNki,before the Queen of Sippar
31396,uz-na-ja i-ba-as-si-a,is my attention
31397,X_0 X_0 s[a]-lim l[u] [b]a [li-it],Y_0 Y_0 father be well; may he be healthy!
31398,dingir na-si-ir a-bi ka-ta re-es a-b[i],"the god who protects you, my father, be available for you, my father"
31400,se-am li-di-iš li-iz-ru,"Let him thresh, winnow, and clean the barley"
31402,X_0 er-re-šu-um i-di-in,Y_0 the field to a cultivator
31403,a-na a-bi-ja ka-ta li-iš-q[u]-l[u],"to you, my father"
31404,a-na sa aš-pu-ra-ak-ku-um,what I wrote to you
31405,šu šal-ma-ta l[u] ba-al-ta-ta,"Be well, be healthy"
31407,ma-ah-ri-ja se-um ša-ki-in,Barley has been deposited with me
31409,X_0 dam.gàr la tu-ub-ba-li-in-ni,Y_0 not carry me to a merchant
31410,te-mi é-j[a],a report on my house
31411,um-ma a-pil—I-li-su-ma,Thus says Apil-iligu
31412,se-am X_0 kit.babbar a-na sam ku6.hi.a,barley Y_0 silver for buying fish
31413,da-ba-ba-am tu-ar-ri-ka,you raised objections
31414,a-na na-ba-ar-tim X_0 a-la-ki-im X_1 ta-ad-di-na-gu-nu-ti,did not Y_0 them Y_1 go to the fishing-place
31415,ba-e-ru-tam li-pu-gu,those fishermen do
31416,X_0 gar-rum bu-bu-ul-li-i it-bu-ku d-tutu—na-sir,"Y_0 the king had abolished the debts, Tutu-nasir"
31417,X_0 uru UD.KIB.NUN-ki it-tu-ra-am,Y_0 here to Sippar
31418,d-ig.bar.si.meg gu be-el é-gu,those head-cloths of the owner of his house
31421,a-na i-din-d-EN.zu qi-bi-ma,tell Iddin-Sin that
31422,ti-ig.bar.si.meg gu-nu-ti a-na be-li-gu-nu li-te-ru-gum-ma,they must give him back those head-cloths for their owner
31423,ge-am X_0 kù.babbar a-na d-tutu—na-sir i-din—d-EN.zu gu-û li-id-di-in-gum,the Y_0 and the silver for Tutu-nâsir Iddin-Sin himself should give
31424,a-ul ta-al-li-ka-nim,but you did not come
31425,sum-ma la ta-al-la-ka-nim te4-ma-am ga-am-ra-am ar-hi-is su-up-ra-nim-ma,"If you do not come, write me quickly a complete report"
31426,X_0 ilim lu ti-de-e,Y_0 aware of the god
31427,sum-ma ta-al-la-ka-nim a-na a-ha-ti-ku-nu qí-bi-a-ma,"If you do come, tell your sister"
31428,a-na dingir-su—ib-ni a-hi-ja si-bu-tam X_0 e-pé-si-im aq-bi-sum,"I told Ilsu-ibni, my Y_0 to do what is necessary"
31429,sa aq-bu-sum li-pu-us,let him do what I told him
31431,ki-ma âs ni qâ am gud.hi.a su-nu-ti it-ba-al-ma gud.apin sa a-na é.gal a-na-ku a-re-du-I,"After I had arrive, he took those oxen away, and as for the plow-team that I myself had added to (those of) the palace"
31432,gud.apin su-a-ti i-bi—den.lìl up-ta-ar-ri-ir,Ibbi-Enlil has dispersed that plow-team
31433,aga.us.mes erén a.sà sa a-na si-pí-ir li-ib bi a.sà is-tu la-bi-ir-ti gar-rum id-di-nu,"the soldiers, agricultural workers, whom long ago the king had designated for work in the field"
31434,sa qa-ti-ja su-nu X_0 a.sà-su it-ba-al-su-nu-ti,they report under Y_0 — he took them away for his field
31435,umma a-na-ku-ma sa-ki-in gar-ri X_0,"Thus I said: ""I Y_0 an appointee of the king"
31436,mu-ba-ad-du-nu[m a-hi],"Mubaddûm, my brother"
31437,Pis-me—d iskur 1[r-ka],"May Isme-Adad, your servant"
31438,ma-har a) dutu X_0 be-li-[j]a li-ik-ru-ub,pray for my Y_0 before Samas
31439,be-li at-ta i-na su-ul-mi X_0 ba-la-ti,"You, my lord, enter Y_0 in well-being and good health"
31440,a-na kâ.dingir.ra id er-ba-am-ma,enter Babylon
31441,bu-nu nam-ru-tum sa dmarduk ra-i-mi-ka,the pleasant faces of Marduk who loves you
31442,ù diskur ba-ni-ka li-im-hu-ru-ka,and Adad who created you welcome you
31443,z f z.an.na a-na sa-ka-an,emmer for presenting
31444,ku-ru-um-ma-ti-ja û-ul i-su,I do not have my food offering
31445,Pqû-ut-tu-ut-ta geme-ka,"Quttuttu, your slave girl"
31446,MA a).an.na sa an-na ta-pu-la-an-ni,the emmer that you had consented to (give) me
31448,ma-har dEN.zu lu-uk-ru-ba-ak-ku,I want to pray for you before Sin
31449,"pa-ni erén.mes"" s""a ma-ah-ri-ka",at the head of the workmen who are with you
31450,sa-ab-tam-ma i-na itu.du6.kù 114.<gap> a) [ka]m,Put yourself on <gap>VII
31451,ud-di-dam-ma si-in-q6.-am,arrive here quickly
31452,i-na su-mi dam-qf X_0 p1-ha-ti,in good reputation Y_0 a safe position
31454,as-su-mi-ja li-la-ab-bi-ir-ka,for my sake grant you old age
31455,gig ba-mi a-na ka-ri-ib-ti-ka,gives mulch as needed
31456,a-na bi-se-eh-ti i-na-ad-di-in,to her who prays for you
31457,X_0 ra-bu-ti-ka,Y_0 is fit for your high position
31459,mâ-su a-na si-ib-t[im],his ship for requisition(s)
31460,la i-sa-ab-ba-tu,they do not seize
31461,[ù] a-di X_0 ba-la-ti-im,"Moreover, as Y_0 as you are living"
31462,i- [na U]D .KIB .NUNki wa-af-ba-ta,in Sippar in good health
31464,ti-ul ag-ku-un,I have not put my foot to the ground
31465,ib-ni—dmarduk Ir-ka,"Ibni-Marduk, your servant"
31467,kù.babbar gi-te-i-ma,silver to be bought
31468,X_0 la a-se-e-em,Y_0 to go out
31469,se-el-tim gu-a-ti,that quarrel
31470,ki-ma be-el-ti at-ti ti-de-e,like my lady you know
31471,i-na kâ.dingir.ra-ki na-pi-is-ti X_0 be-el-ti-ja ap-qí-id,"so in Babylon Y_0 entrusted my living to you, my lady"
31472,X_0 kâ.dingir.ra-ki ta-li-a-am-ma,Y_0 case you go up to Babylon
31474,dtu ra-i-im-ku-nu,Samas who loves you
31476,ki-a-am ta-aq-bi-a-nim,"like this, in your words"
31477,a-an-na-ku-nu X_0 a-an-ni dutu,your Y_0 like the consent of Samas
31478,ra-i-mi-ku-nu û-ul ta-sa-ak-ka-na-A[M],who loves you. You did not give me
31479,X_0 ra-bu-ti-k[u-n]u,Y_0 is fit for your high position
31480,pnu-rum—li-si su-11 X_0 se-e-ja,That Nûrum-lisi Y_0 lay his hands on my barley
31481,bi-bi-il qa-ti i-ra-as-si,will lay his hands
31482,ma-la se-e sa tu-sa-an-na-qû-ma,All the barley that you check
31483,a-na dsu-bu-la—na-si-ir X_0,"to Subula-nasir, Y_0 <gap>"
31485,X_0 é na-we-lirn dnanna—ma.a[n.sum],Y_0 the house of the honorable Nanna-mansum
31486,se-am a-na dsu-bu-la—na-si-ir,Deliver the barley to Subula-nasir
31488,a-na k[â..d]ingir.rakl li-ir-[d]i,let him transport (this) to Babylon
31489,as-sum 30 gur duh.uD.Du a-na é.duru5-gid.dak,bringing 30 kor of dry draff to Eduru-gidda
31490,se-eh-pi i-ga-bi-la-ak-kum,I sent you my note
31491,gu d i-na la s à . gal i-mu-ut-tu,the oxen will die for want of fodder
31492,a-na wa-tar-dutu qi-bi-ma,Speak to Watar-ama
31493,a-na el-me-e-sum,To Elmesum
31494,um-ma dEN.ZU uru4,Thus says Sin-eres
31495,a-na dEN.zu—uru4,To Sin-eres
31496,um-ma u-bar-rum,Thus says Ubarum
31497,turn it-ti be-lf-ja,tablet of the people
31498,a-we-lam ta-nga-ta-ar-ma,should you enroll the gentleman
31500,X_0 ta-qâ-bu-û-ma,Y_0 you give the orders
31503,la ta-ta-ar-ra-da-gu,Do not despatch him to me empty-handed
31504,urn-ma a-pil-din[gir-glu-ma,Thus says Apil-iligu
31505,bi-tim X_0 e-si-em-me-e-ma,and Y_0 house; I have not yet heard
31506,se-a-am X_0 ma-as-ka-ni-im,Bring Y_0 barley up to the threshing-floor
31507,sa dEN.zu-mu-sa-lim,which you took away from Sin-musallim
31508,ku-nu-uk-ka an-ni-a-am i-na a-ma-ri-i-ka,as soon as you see this document of mine
31509,pdutu-na-sir û-la na-ka-ar ha-ta-ni,"Samas-nâsir, my in-law, - he is no stranger!"
31512,se-a-am an-ni-ki-a-am,the barley here
31513,se-a-am la i-sa-pa-ak-ma,barley <gap> not store
31514,X_0 uru.ki-su,Y_0 his town
31516,se-a-am ad-din,I gave the barley
31517,X_0 ka-la-ti-ki aq-bi,Y_0 said to your daughter-in-law
31518,X_0 X_0,Y_0 Y_0 words
31519,a-di pa-ni-ja la ta-mur-i,so long as you do not see my face
31520,X_0 ma-nam-ma-an se-a-am û-la ta-na-an-di-ni,Y_0 will not give the barley to anybody
31521,um-ma dEN.zu,Thus says Sin
31522,dutu X_0 ba-al-li-it-ka,May Y_0 keep you in good health
31523,sa kù.babbar sa ma-ab-ri-ka,of the silver that you have
31525,sum-ma si-bu-ut-ka,But if you wish
31528,kù.babbar lu-di-ku-um,I want to give you the silver
31529,a-na sig-istar qi-bi-ma,Speak to Ipiq-Is'tar
31530,um-ma dEN.lil-lû-sa-ma,Thus says Enlil-lusa
31531,ki-ma ti-du-û e-bu-ru-um,"As you know, the harvest"
31532,qé-ru-ub la tu-ma-qâ-a,is near; do not be slow
31533,it-ti na-hi-is-sal-mu-um al-kam-ma,"together with Nahis-salmum, come here"
31534,te-em bi-ti i-ni-id-bu-ub,we may discuss the report about the house
31535,a-na lû-ga-a qi-bi-ma,Speak to Luga
31536,dEN.zu-ma-gir a-bu-ka,"Sin-magir, your colleague"
31539,X_0 a-wa-tim la i-da-ri-sû-su-nu-ti,Y_0 should not oppress them in the matter
31540,X_0 lû-dingir.ra ta-qâ-ab-bi-ma,Y_0 you speak to Lu-dingira
31542,sa si-ba-re-e i-sà-ki-pu,those who push the servants around
31543,la i-sà-ki-pu-su-nu-ti,should not push them around
31544,X_0 ug.udu.nita.hi.a-ka tù-uh-hi-ma,Y_0 with your sheep and
31546,a-na mi-im-ma,for anything
31555,u-ul ni-ip-ru-us,we did not investigate
31557,u-ul û-se-er-re-eb-su-ma,I do not bring it in
31559,a-ga-ar ka-ti,where I have you
31560,an-ni-turn in-né-e-ep-pe-eg,Should this be done
31561,mi-im-ma sa ih-li-qû,what was lost
31562,a-na be-el te-re-e-[tim],to the officials
31563,um-ma a-p11-I-1I-su-ma,Thus says Apil-iligu
31564,um-ma gu-mi-I-lI-gu-m[a],Thus says Sumi-iligu
31565,den.lil ù dnin.urta li-ba-al-li-tù-k[a],May Enlil and Ninurta keep you in good health
31566,a-na a-wi-i,to Awil-
31567,um-ma ni-di-it-tum,Thus says Nidittum
31568,X_0 pa-ar-si sa dumu.mes Ir.ra-mu-ba-li-it,Y_0 the cultic offices of the sons of Irra-muballit
31570,pa-ar-sa-am te-e-er,Give back the cultic office
31571,a-hu-ka pi-su i-s-si-su,Your brother also heard his words
31572,ma-am-ma-an sa i-na i-di-su iz-za-az-zu,nobody who will side with him
31573,dumu.mes Ir.ra-mu-ba li-it sà-ar-ru-tum,"the sons of Irra-muballit, treacherous men"
31575,si-ba-tu-ka lu-ti ha-mi-is,even if you have five (other) things to do
31576,ku-us-da-an-ni pa-ar-sa-am i-ta ba lu-û,reach me! They will take away the cultic office
31577,X_0 a-we-li,Y_0 the gentleman
31578,um-ma zi-nu-û-ma,Thus says Zinû
31579,d utu X_0 dnin.subur as-sum-ja X_2 da-ri-a-tim li ba al X_1 tû ka,May Samas Y_0 Ilabrat keep Y_2 in good health forever Y_1 my sake
31580,as-sum a.sa se.gis.I sa as.dub.ba,Concerning the sesame field of Ag'dubba
31581,ma-am-ma-an û-u1 ta-as-ku-um-ma se.gis.i im-ma-sa-AU,"should you not appoint anybody, the sesame will be stolen"
31582,pd s u l.pa.è-na-sir tù-ur-dam-ma,Despatch Sulpae-nasir to me and
31583,se.gis.i li-is-sû-ur-ma,let him guard the sesame
31584,bi-tum sa-li-im,The house is well
31585,su-KU-um-ka g-u-up-ra-am,Write me about your well-being
31586,li-ib-bi la it-te-né-eb-pi,let my heart not be always broken
31587,X_0 ra-bi-a-an uru ja-ku-du,Y_0 the mayor of Jakudu
31588,um-ma dEN.zu-mu-us-ta-al-ma,Thus says Sin-mugtal
31589,as-sum se-im na-as-pa-ki-im sa dumu.mes dEN.zu-uru4 dam.gàr,"Concerning the barley in the granary of the sons of Sin-ere's, the merchant"
31590,sa qâ-ti-ja sû-us-sû-nu û-ul is-qû-lu,"which is under my control, they did not pay out their provisions"
31591,pd dEN.zu-mu-sa-lim PA nam.5-su-nu it-ta'al-kam,"Sin-mu'sallim, Overseer of Five, has just come to me"
31592,um-ma dEN.zu-ri-im-1-lf-ma,Thus says Sin-rim-ill
31593,X_0 aq-bi-ku,Y_0 spoke to you like this
31594,a-na a-pil-I-1I4u,to Apil-ili'su
31596,a-na dutu-ha-zi-ir,to Samas-hâzir
31597,dEN.zu ù dnin.gal,Sin and Ningal
31599,X_0 ta-a-s-pur-ra-a-nim,Y_0 wrote me like this
31600,a.s à-ka i ni-GU-ur,let us see your field
31601,a.s à ni-mu-ur-ma,We saw the field
31602,a-ga-ar a.s à-[im] a-na igi.4. gal X_0 igi.3. gal im-ta-ag-ga-ar,he repeatedly agreed to one-fourth (or) Y_0 one-third instead of the field
31603,sa ta-ag-pur-ra-a-nim,This is what you wrote to me
31604,X_1 X_0 si-im-da-at be-1I-ja,Y_1 Y_0 to the regulations of my lord
31605,a-we-TUM X_0 pi-i ka-an-ki-gu,a Y_0 should not be deprived of according to the wording of his sealed document
31606,1 sfila3 ge-a la ih-ha-ab-ba-lu-i,one quart of barley that he is entitled to
31608,sum-ma ni-ti-il-ka ku-ul-li-im,"If this is your wish, show them"
31609,sum-ma la ni-ti-il-ka X_0 tu-ka-al-lam,"if this is Y_0 your wish, do not show them"
31610,a-di is-te-en si p a d X_0 pu-hi-gu,until I give one shepherd as Y_0 replacement
31611,a-na-ad-di-nu-6-ma X_0 se-ri ja û-ta-ar-ra-ag-gu,and Y_0 returns him to me
31613,X_0 X_0 r é n KA. KESDA lugal i-na-ad-di-im-ma a-na pu-ut-tù-ri-im ma-[r]u-u[s],"Y_0 Y_0 be given to the troops of the royal army, it will be difficult to release him"
31616,dutu ù dnin. gIr su ai-gu-mi-ja,May Samas and Ningirsu keep you in good health for my sake
31618,[a-na] qâ ti ja su bi lam,to be at my disposal
31619,[ma]-hi-ra-at [i-l]a-ku [ge]-a-am lu-[ud]-di-ik-kum,I want to give you barley at the current rate
31620,[u4]-mi itu.1.kam itu.2.kam X_0 kù.babbar it-ti-ja ig-ga-ka-nu,"for the time, Y_0 month (or) two months, that the silver will be deposited with me"
31621,a-na kù.babbar ù m â g.b X_0 ku-nu-uk-kam lu-zi-ba-kum,I want to draw up a Y_0 contract for you about the silver and interest
31622,um-ma dEN.zu-til-sé-li-ma,Thus says Sin-uselli
31623,dutu ù dinanna-zA.MÙS.ABki,Samas and Inanna-Zabalam
31624,X_0 a-li-im,Y_0 the town
31625,um-ma é.[kur]-inim.gar sa6,Thus says Ekur-inimgar-sagani
31626,a-na li-[ib-b]i ma-tim at-ta-ra-ad,I have despatched <gap> to the countryside
31628,is-tu lugal d(ug)-du-lí{ki},Since the king of Tuttul
31629,erén.hi.a i te né er-re,is constantly asking for troops
31631,a-la-ni uru.ki,the towns
31632,p{d}(EN).zu—ha-zi-ir dumu Ir—d(nanna),"Sin-hâzir, son of Ir-Nanna"
31633,1 ME erén.tei.a it-ti-gu li-li-ik-ma,Let one hundred troops go with him
31634,as-sum te-e-em se.ba erén.dirig.mes na-da-nim,About the report on giving barley rations to the supplementary troops
31635,se.ba sa-at-ti-ni ga-am-ra-am id-na-ni-a-si-im,Give us our whole year's barley ration
31636,se.ha ga-at-ti-ni ga-am-ra-am X_0 ta-na-an-di-na-ni-a-si-im,if you do Y_0 give us our whole year's barley ration
31637,iss-tu at-tu-nu ta-a(l)-li-ka,After you went (away)
31638,X_1 i-ba-a-a-tum ù na-ap-li-is—dingir X_0 aq-bi,Y_1 spoke like this Y_0 Ubajâtum and Naplis-ili
31639,erén.dirig.mes kù.babbar se.ba sa-at-ti-su-nu ga-am-ra-am li-id-di-nu,Should they (really) give the supplementary troops silver their whole year's barley ration
31640,erén.hi.a X_0 qd-tim us-si-ma,the Y_0 will leave (our) control
31641,se.ba sa-at-ti-su-nu ga-am-ra-am,their whole year's barley ration
31642,te4-e-ma-am an-ni-a-am,this opinion
31643,pû-ba-a-a-tum ù pna-ap-li-is—dingir iq-bu-ku-nu-si-im,did Ubajatum and Naplis-ili tell you
31644,as-sum kù.babbar sa ta-as-pu-ra-nim,Concerning the silver about which you wrote to me
31645,X_0 bé-e-li-ja as'-ta-pa-ar,Y_0 have written to my lord
31646,mâs.su.gid.gid i-na UD.NUNki wa-si-ib,"the diviner, he is staying in Adab"
31647,pdnin.urta—mu-ba-lI-it is-pu-ra-am,Ninurta-muballit wrote to me
31648,wa-ar-ka-as-sû pu-ur-sà-a-ma,Investigate his case
31649,um-ma geme-dutu-ma,Thus says Amat-Samas
31650,da-ri-is u4-mi li-ba-al-li-ti-ka,keep you in good health forever
31651,ki-a-am ag-pu-ra-as-gu,I wrote in the following terms
31652,é a-na dingir-su-ib-ni,Release the house to Ilgu-ibni
31653,kù.babbar li-pu-ul-ka,he will pay you the silver
31654,an-ni-tam as-pu-ûr-su,This (is what) I wrote to him
31655,am-ti la i-ma-at,My slave-girl must not perish
31656,Pipqii-i-li-su di.ku5 X_0 pu-uh-ri-im,Ipqu-iligu the Y_0 has spoken at length in the assembly
31657,a-ra-ka-at da-ba-bi-ia li-ip-pa-ri-is,May a written order be issued that my complaint must be investigated
31658,a-na X_0 ai-bi-ma,I Y_0 spoken to the gentleman
31659,tup-pi a-wi-lim,a letter on the gentleman's behalf
31660,X_0 GAL.UNKEN.NA a-na ip-qu-dna-bi-um,Y_0 the director to Ipqu-Nabium the barber
31661,tup-pa X_0 te4-mi-gu a-na dEN.zu-re-me-ni di.ku5,a Y_0 to Sin-réméni the judge for his information
31662,pa-ni ip-qu-ili-gu su-a-ti la tu-ub-ba-al,Do not spare this Ipqu-iligu
31663,i-na pu-uh-ri-im X_0 da-ba-bi-im,during the Y_0 in the assembly
31664,a-wi-lum a-na pa-ni X_0 ta-da-ab-bu-ba,the gentlemen speak Y_0 each other in the assembly
31665,tup-pa-ti-su-nu me-eb-ra-am,a copy of their tablets
31666,X_0 enku zim.bir ld a-pa-li-ka,Y_0 you will pay the tax collector of Sippar
31667,ar-ki dNin.urta-ni-gu d-ga-ab-ba-lam,after (the departure of) Ninurta-nisu
31668,urn-ma i-lu-ni-ma,Thus says Iluni
31669,a-na al. dir -e-ka,for your seed
31671,ni-ik si-ma-tim ta-ad-di-in,you caused a complaint
31673,gu4 ga el-qu-u,The ox which I received
31674,ri-ik-sa-ti-ia û-ul e-en-ni,I will not change my contract
31675,a-na dingir-ˢu-ib-ni,to Ilgu-ibni
31677,X_0 a.sà li-ka-bi-is,Y_0 this field be stepped upon
31678,te-na-am sa a.sà X_0 e-er-su tu-ud-di-in,Collect whatever barley Y_0 been cultivated (in) the field
31679,tup-pf be-li-ia,a tablet (from) my lord
31680,a.sà a.gàr na-si-a-ri-is,the field (in the) district (of) Nasiaris
31681,um-ma dingir-su,Thus says Ilsu-ibni
31682,ma-har a-wi-lim,before the man personnel manager
31683,X_0 ra-bu-ti,Y_0 accordance with (his) high position
31684,li-ba al-li tâ-ka,keep you in good health
31685,lu-û ba-al-ta-ta,May you be healthy
